"","id_outbreak","Year","icd10n","icd103n","icd104n","icd10c","icd103c","icd104c","Disease","Definition","Country","iso2","iso3","unsd_region","unsd_subregion","who_region","DONs"
"92","2025CYPU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Cyprus","CY","CYP","Asia","Western Asia","European Region","Coronavirus dashboard"
"93","2025CZEJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Czechia","CZ","CZE","Europe","Eastern Europe","European Region","DON2938"
"94","2025CZEU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Czechia","CZ","CZE","Europe","Eastern Europe","European Region","Coronavirus dashboard"
"95","2025DEUB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","Germany","DE","DEU","Europe","Western Europe","European Region","DON2936"
"96","2025DEUU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Germany","DE","DEU","Europe","Western Europe","European Region","Coronavirus dashboard"
"97","2025DNKJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Denmark","DK","DNK","Europe","Northern Europe","European Region","DON2938"
"98","2025DNKU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Denmark","DK","DNK","Europe","Northern Europe","European Region","Coronavirus dashboard"
"99","2025DOMJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Dominican Republic","DO","DOM","Americas","Latin America and the Caribbean","Region of the Americas","DON2938"
"100","2025DZAA369","2025","Other bacterial diseases","Diphtheria","Diphtheria, unspecified","A30-A49","A36","A369","Diphtheria, unspecified","A disease commonly of the respiratory system, caused by an infection of the gram-positive bacteria Corynebacterium diphtheriae. This disease is characterised by sore throat, fever, and a pseudomembrane on the tonsils, pharynx, or nasal cavity. Transmission is by inhalation of infected respiratory secretions, or direct cutaneous contact. Confirmation is by identification of Corynebacterium diphtheriae from a throat swab or infected tissue, and by clinical signs.","Algeria","DZ","DZA","Africa","Northern Africa","African Region","DON2934"
"101","2025DZAJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Algeria","DZ","DZA","Africa","Northern Africa","African Region","DON2938"
"102","2025DZAU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Algeria","DZ","DZA","Africa","Northern Africa","African Region","Coronavirus dashboard"
